Provider Approval Number,Service Approval Number,Legal Name,Trading Name,Address,Suburb,State,Postcode,Date Approval Granted,Conditions
PR-00000950,,Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust & Cynas Childcare Pty Ltd ATF Cynas Childcare Trust,,32 Kooyongkoot Rd,HAWTHORN,VIC,3122,01-01-2012,
PR-00001298,,Active Educare Pty Ltd,,2 Renshaw Street,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00001299,,Acacia Avenue Preschool Association Inc,,35 Acacia Avenue,MENTONE,VIC,3194,29-12-2011,
PR-00001300,,Acacia Indo-chinese Community Support Association Inc,,13 Belgium Avenue,RICHMOND,VIC,3121,29-12-2011,
PR-00001301,,Adass Israel School Inc,,10 - 12 King Street,ELSTERNWICK,VIC,3185,29-12-2011,
PR-00001303,,Airport West Child Care Centre Co-operative Ltd,,4 Clydesdale Road,AIRPORT WEST,VIC,3042,29-12-2011,
PR-00001304,,Alexandra and District Kindergarten Inc,,PO Box 52,ALEXANDRA,VIC,3714,29-12-2011,
PR-00001305,,Alfred Nuttall Memorial Kindergarten Inc,,34 Separation Street,FAIRFIELD,VIC,3078,29-12-2011,
PR-00001306,,Coragulac & District Kindergarten Inc,,C/- Post Office,COROROOKE,VIC,3254,29-12-2011,
PR-00001307,,Children's Protection Society Inc,Kids First Australia,68-70 Altona Street,HEIDELBERG WEST,VIC,3081,29-12-2011,
PR-00001308,,Kidz R Kidz Pty Ltd,,30 Stirling Avenue,CRANBOURNE NORTH,VIC,3977,29-12-2011,
PR-00001309,,ANANDA MARGA PRACARAKA SAMGHA LTD,,199 Clauscen St,FITZROY NORTH,VIC,3068,29-12-2011,
PR-00001311,,Anglesea Kindergarten Inc,,PO Box 83,ANGLESEA,VIC,3230,29-12-2011,
PR-00001313,,Annie Dennis Children's Centre Inc.,,2-6 Oldis Avenue,NORTHCOTE,VIC,3070,29-12-2011,
PR-00001314,,Antonine Sisters Victoria Property Association Inc,,"11-13, Barrow Street",COBURG,VIC,3058,29-12-2011,
PR-00001315,,Apex Preschool Centre Inc,,7 Howarth Street,ELLIMINYT,VIC,3250,29-12-2011,
PR-00001316,,Apollo Parkways Preschool Inc,,31 Plenty River Drive,GREENSBOROUGH,VIC,3088,29-12-2011,
PR-00001318,,Appletree Preschool Assoc Inc,,"Appletree Hill Pre School, 37 Shepherd Rd",GLEN WAVERLEY,VIC,3150,29-12-2011,
PR-00001319,,Apollo Bay Preschool Inc,,69 McLachlan St,APOLLO BAY,VIC,3233,29-12-2011,
PR-00001320,,ARMADALE EARLY LEARNING CENTRE INC,,3 Fulton Street,ARMADALE,VIC,3143,29-12-2011,
PR-00001321,,Ascot Kindergarten Inc,,1 West Street,ASCOT VALE,VIC,3032,29-12-2011,
PR-00001322,,Ascot Vale Progress Kindergarten Association Inc,,11 Brown Avenue,ASCOT VALE,VIC,3032,29-12-2011,
PR-00001323,,Ashwood Preschool Association Inc,,17a Arthur Street,ASHWOOD,VIC,3147,29-12-2011,
PR-00001324,,Aspendale Gardens Community Service Incorporated,,103-105 Kearney Drive,ASPENDALE GARDENS,VIC,3195,29-12-2011,
PR-00001325,,Attwood Child Care Centre and Kindergarten Assoc Inc,,475 Mickleham road,ATTWOOD,VIC,3049,29-12-2011,
PR-00001326,,Auburn Kindergarten & Child Care Centre Inc,,27 Station Street,HAWTHORN EAST,VIC,3123,29-12-2011,
PR-00001327,,Auburn South Preschool Inc,,5 Anderson Road,HAWTHORN EAST,VIC,3123,29-12-2011,
PR-00001328,,Austin Health,,Studley Road,HEIDELBERG,VIC,3084,29-12-2011,
PR-00001329,,Australian Greek Welfare Society,,7 Union Street,BRUNSWICK,VIC,3056,29-12-2011,
PR-00001332,,Bairnsdale Kindergarten Inc,,PO Box 346,BAIRNSDALE,VIC,3875,29-12-2011,
PR-00001333,,Balcombe Preschool Association Inc,,144 Bay Rd,MOUNT MARTHA,VIC,3934,29-12-2011,
PR-00001334,,Ballam Park Preschool Association Inc,,PO Box 4078,LANGWARRIN,VIC,3910,29-12-2011,
PR-00001335,,Ballarat & Clarendon College,,1425 Sturt Street,BALLARAT,VIC,3350,29-12-2011,
PR-00001336,,Ballarat City Council,,PO Box 655,BALLARAT,VIC,3353,29-12-2011,
PR-00001337,,Balnarring Preschool & Infant Welfare Assoc Inc,,PO Box 113,BALNARRING,VIC,3926,29-12-2011,
PR-00001339,,Balwyn East Kindergarten Inc,,Cnr Belmore Rd & Caravan St,BALWYN,VIC,3103,29-12-2011,
PR-00001340,,Bambini Operations Pty Ltd,,13 - 15 Asling Street,BRIGHTON,VIC,3186,29-12-2011,
PR-00001341,,Banchie Pty Ltd,,5 Stringer Court,SUNBURY,VIC,3429,29-12-2011,
PR-00001342,,Banyule City Council,,PO Box 94,GREENSBOROUGH,VIC,3088,29-12-2011,
PR-00001343,,The Baptist Union of Victoria,,277-281 Elgar Road,SURREY HILLS,VIC,3127,29-12-2011,
PR-00001345,,Barriburn Preschool Association Inc,,337 Morack Road,VERMONT SOUTH,VIC,3133,29-12-2011,
PR-00001346,,Barry Road Preschool Inc,,PO Box 304,THOMASTOWN,VIC,3074,29-12-2011,
PR-00001348,,Batman Park Kindergarten Association Inc,,79 Elm Street,NORTHCOTE,VIC,3070,29-12-2011,
PR-00001349,,Baxter Preschool Inc,,PO Box 6,BAXTER,VIC,3911,29-12-2011,
PR-00001351,,Bayside City Council,,PO Box 27,SANDRINGHAM,VIC,3191,29-12-2011,
PR-00001353,,Beaconsfield Kindergarten Inc,,PO Box 329,BEACONSFIELD,VIC,3807,29-12-2011,
PR-00001354,,Beleura Hill Preschool Association Inc,,32 Amelia Ave,MORNINGTON,VIC,3931,29-12-2011,
PR-00001355,,Bellevue Kindergarten Association Inc,,68 Ursa St,BALWYN NORTH,VIC,3104,29-12-2011,
PR-00001356,,Belvedere Park Preschool Association Inc,,PO Box 152,SEAFORD,VIC,3198,29-12-2011,
PR-00001357,,Benalla Primary School Council,,127-139 Waller Street,BENALLA,VIC,3672,29-12-2011,
PR-00001358,,Bendigo Community Health Services Limited,,Po Box 1121,BENDIGO,VIC,3552,29-12-2011,
PR-00001359,,Bendigo Preschool Inc,,90 Myrtle Street,BENDIGO,VIC,3550,29-12-2011,
PR-00001360,,Bentleigh Family & Child Care Co-op,,134 Brewer Road,BENTLEIGH,VIC,3204,29-12-2011,
PR-00001361,,Bentleigh West Kindergarten Inc,,PO Box 4018,PATTERSON,VIC,3204,29-12-2011,
PR-00001362,,Benwerrin Preschool Association Inc,,"Benwerrin Kindergarten, 120-122 Burwood Hwy",BURWOOD EAST,VIC,3151,29-12-2011,
PR-00001364,,Birregurra Pre-School Centre Inc,,95 Main Street,BIRREGURRA,VIC,3242,29-12-2011,
PR-00001365,,Birralee Preschool Association Inc,,21 Weeden Drive,VERMONT SOUTH,VIC,3133,29-12-2011,
PR-00001366,,Bittern Preschool Association Inc,,PO Box 34,BITTERN,VIC,3918,29-12-2011,
PR-00001367,,Newhope Baptist Pre-School Inc,,PO Box 255,KERRIMUIR,VIC,3129,29-12-2011,
